Step,Value
1,6.366481216372337
2,2.177659503604419
3,2.0093114438027206
4,1.4799121801669781
5,1.6426224621925736
6,1.843210549767588
7,2.0557712239911297
8,2.238593608094476
9,2.2897819365849603
10,2.297762035480807
11,2.600502504845171
12,2.601600657691579
13,2.7532565562372056
14,2.8695119744836664
15,2.9039711809277597
16,2.910395127436506
17,3.080272483199413
18,3.22196658788609
19,3.3130533372394724
20,3.388932909708075
21,2.956106463609856
22,3.4848669470982965
23,3.2004300279275606
24,3.1042767266380813
25,3.2377590643485967
26,3.3772880379304198
27,3.254989490476427
28,3.312449184383833
29,3.607319759348264
30,3.4705351327271
31,3.8130243366251153
32,3.612085660973073
33,3.8316883949287965
34,3.675872211327114
35,3.788445428261638
36,3.979179086065135
37,3.6546161795623617
38,3.7697619932985393
39,3.9611151872237604
40,3.866879885371488
41,4.1934489806002615
42,4.0338162434107785
43,4.079842927441652
44,3.6848943220788377
45,4.3263873729909035
46,3.8987651635038816
47,3.9936310907442456
48,4.442802671664501
49,4.389979586361475
50,4.099683696742939
51,4.28227617968021
52,4.52874301921522
53,4.425348288658426
54,4.3415249809545315
55,4.236944876626723
56,4.766524598056648
57,4.409729243234853
58,4.176906949588536
59,4.533657776946957
60,4.3639969012763915
61,4.501502170740567
62,4.9088559346641425
63,4.687094716947688
64,4.422174887394768
65,4.909239537719629
66,4.7311260450066
67,4.2626484600044625
68,4.589397092862684
69,4.780371092802026
70,4.257112618946236
71,5.089907783836808
72,5.1926000371399645
73,4.356956969272818
74,4.4934609835936445
75,4.856437280479811
76,4.832048487824363
77,4.906971279172549
78,5.274689326678759
79,5.776356565442687
80,5.5967517045642134
81,4.835055599713276
82,4.999920530447043
83,4.480624822779654
84,4.586589884237539
85,5.015154011439137
86,5.1514314161206975
87,4.957362352454117
88,5.325867267984925
89,4.970979310653469
90,5.363171272367053
91,5.144795361457087
92,5.4815306624866205
93,4.577486652129653
94,4.740384344646626
95,4.707820938779341
96,5.146449040110356
97,5.3615454648642675
98,5.154076299712395
99,5.551287607671286
100,5.304644746942109
