Step,Value
1,0.03699813877414378
2,0.47856409120104293
3,0.40869056860956976
4,0.45950712152057777
5,0.40494370652583433
6,0.3514216721925319
7,0.31341978546673444
8,0.2696130640510462
9,0.28613959820534485
10,0.2850219524715274
11,0.2221468747622506
12,0.2412094783634257
13,0.20872842453869367
14,0.19859586989123706
15,0.19940323327627352
16,0.20040852300776266
17,0.1732450562128468
18,0.17399103469805882
19,0.15115290644758705
20,0.1481310128333074
21,0.2353469095194786
22,0.14772918335551283
23,0.1838531797662718
24,0.20736292335872777
25,0.17049105548669669
26,0.16038662238189808
27,0.19365828212644912
28,0.1678798282170463
29,0.13150970970634798
30,0.16126525801898844
31,0.1258839848151202
32,0.14445818914778205
33,0.11911348181461098
34,0.14902633064951198
35,0.132697125708998
36,0.1093279845458833
37,0.16094563088695404
38,0.1469146715372553
39,0.12137693498213921
40,0.1345860738512477
41,0.10230222755167905
42,0.13066013991395148
43,0.11541199834006616
44,0.1556994665100427
45,0.07342143671145651
46,0.14544704184710608
47,0.11746220598616898
48,0.08874126174341956
49,0.09779607875295866
50,0.13134928203038793
51,0.10632462441541735
52,0.0737348085515232
53,0.10138782012138879
54,0.11341725219633593
55,0.10631363978803064
56,0.07464040184137943
57,0.10564994992854813
58,0.12330616400054348
59,0.07914734880194037
60,0.11520562282368432
61,0.08439617705959324
62,0.068219294045469
63,0.08293255955356477
64,0.11358446590776658
65,0.06859693423895216
66,0.09253423624205366
67,0.1258867619202904
68,0.07759904423380065
69,0.08882497796418994
70,0.11664149287522707
71,0.0587424455494223
72,0.06074160976764279
73,0.113281093918275
74,0.10521838658541564
75,0.06431898250866085
76,0.07650590761808636
77,0.08845420528044479
78,0.0629074780757901
79,0.03393750533988223
80,0.059378653006330946
81,0.0878370922724881
82,0.10581266683654128
83,0.10692150419744471
84,0.09571878856828285
85,0.07248245720923907
86,0.05420819966203829
87,0.07872857545548953
88,0.06630493229712028
89,0.07564524673273992
90,0.047123291864439365
91,0.0881665316596724
92,0.056930439388902236
93,0.09509729860803566
94,0.09222029687317859
95,0.09431962351645817
96,0.06605232426685644
97,0.06365409838674656
98,0.06497013073858927
99,0.05646683497578506
100,0.0643779762285779
